Season,Regular_Season_Viewership,Primetime_Viewership,Descripton
02-03,1.58,102.9, New Cable Heavy TV deal with ESPN and TNT
03-04,1.74,103.4
04-05,1.62,106.1
05-06,1.63,107.5
06-07,1.52,106.9
07-08,1.71,108.4
08-09,1.95,110.8
09-10,1.85,110.5
10-11,2.51,111.2,Lebron Joins Heat
11-12,2.51,112.0,Lockout Year 2
12-13,2.17,112.9
13-14,1.95,112.8
14-15,1.80,107.9
15-16,1.92,105.4,Warriors Win 73 games
16-17,1.75,102.5
17-18,1.89,98.6
18-19,1.79,92.0,Lebron Joins the Lakers
19-20,1.55,85.4,Covid Year 1
20-21,1.36,73.7,Covid Year 2
21-22,1.61,69.7
22-23,1.59,63.8
